ICAO,CTRY
00A,US
00AA,US
00AK,US
00AL,US
00AR,US
00AS,US
00AZ,US
00CA,US
00CL,US
00CN,US
00CO,US
00FA,US
00FD,US
00FL,US
00GA,US
00GE,US
00HI,US
00ID,US
00IG,US
00II,US
00IL,US
00IN,US
00IS,US
00KS,US
00KY,US
00LA,US
00LL,US
00LS,US
00MD,US
00MI,US
00MN,US
00MO,US
00MT,US
00N,US
00NC,US
00NJ,US
00NK,US
00NY,US
00OH,US
00OI,US
00OK,US
00OR,US
00PA,US
00PN,US
00PS,US
00S,US
00SC,US
00SD,US
00TA,US
00TE,US
00TN,US
00TS,US
00TX,US
00UT,US
00VA,US
00VI,US
00W,US
00WA,US
00WI,US
00WN,US
00WV,US
00WY,US
00XS,US
01A,US
01AK,US
01AL,US
01AR,US
01AZ,US
01C,US
01CA,US
01CL,US
01CN,US
01CO,US
01CT,US
01FA,US
01FD,US
01FL,US
01GA,US
01GE,US
01IA,US
01ID,US
01II,US
01IL,US
01IN,US
01IS,US
01J,US
01K,US
01KS,US
01KY,US
01LA,US
01LL,US
01LS,US
01MA,US
01MD,US
01ME,US
01MI,US
01MN,US
01MO,US
01MT,US
01NC,US
01NE,US
01NH,US
01NJ,US
01NM,US
01NV,US
01NY,US
01OI,US
01OK,US
01OL,US
01OR,US
01PA,US
01PN,US
01PS,US
01SC,US
01TA,US
01TE,US
01TN,US
01TS,US
01TT,US
01TX,US
01U,US
01UT,US
01VA,US
01WA,US
01WI,US
01WN,US
01WT,US
01WY,US
01XA,US
01XS,US
02AA,US
02AK,US
02AL,US
02AR,US
02AZ,US
02CA,US
02CD,US
02CL,US
02CO,US
02CT,US
02FA,US
02FD,US
02FL,US
02GA,US
02GE,US
02HI,US
02IA,US
02ID,US
02II,US
02IN,US
02IS,US
02KS,US
02KT,US
02KY,US
02LA,US
02LS,US
02MA,US
02MD,US
02ME,US
02MI,US
02MN,US
02MO,US
02MS,US
02MT,US
02MU,US
02NC,US
02NE,US
02NH,US
02NJ,US
02NV,US
02NY,US
02OH,US
02OI,US
02OK,US
02OL,US
02OR,US
02P,US
02PA,US
02PN,US
02PR,PR
02PS,US
02SC,US
02T,US
02TA,US
02TE,US
02TN,US
02TS,US
02TX,US
02UT,US
02VA,US
