DATE,FLTS
2019-01-01,58469
2019-01-02,70547
2019-01-03,73407
2019-01-04,75361
2019-01-05,69432
2019-01-06,68586
2019-01-07,69161
2019-01-08,68912
2019-01-09,70011
2019-01-10,71547
2019-01-11,71509
2019-01-12,62990
2019-01-13,62028
2019-01-14,66923
2019-01-15,65814
2019-01-16,66591
2019-01-17,68564
2019-01-18,70234
2019-01-19,61900
2019-01-20,62416
2019-01-21,70849
2019-01-22,70430
2019-01-23,70927
2019-01-24,73781
2019-01-25,78610
2019-01-26,69813
2019-01-27,68709
2019-01-28,71829
2019-01-29,71822
2019-01-30,71474
2019-01-31,72873
2019-01-01,58469
2019-01-02,70547
2019-01-03,73407
2019-01-04,75361
2019-01-05,69432
2019-01-06,68586
2019-01-07,69161
2019-01-08,68912
2019-01-09,70011
2019-01-10,71547
2019-01-11,71509
2019-01-12,62990
2019-01-13,62028
2019-01-14,66923
2019-01-15,65814
2019-01-16,66591
2019-01-17,68564
2019-01-18,70234
2019-01-19,61900
2019-01-20,62416
2019-01-21,70849
2019-01-22,70430
2019-01-23,70927
2019-01-24,73781
2019-01-25,78610
2019-01-26,69813
2019-01-27,68709
2019-01-28,71829
2019-01-29,71822
2019-01-30,71474
2019-01-31,72873
2019-02-01,75071
2019-02-02,66142
2019-02-03,64260
2019-02-04,69867
2019-02-05,71394
2019-02-06,71815
2019-02-07,74373
2019-02-08,77735
2019-02-09,67718
2019-02-10,67340
2019-02-11,72421
2019-02-12,70281
2019-02-13,73835
2019-02-14,78142
2019-02-15,80373
2019-02-16,71629
2019-02-17,70445
2019-02-18,74511
2019-02-19,76739
2019-02-20,69955
2019-02-21,69539
2019-02-22,72177
2019-02-23,64463
2019-02-24,65369
2019-02-25,69018
2019-02-26,69257
2019-02-27,72532
2019-02-28,79644
2019-03-01,81062
2019-03-02,69977
2019-03-03,68594
2019-03-04,74139
2019-03-05,77221
2019-03-06,78238
2019-03-07,79658
2019-03-08,80921
2019-03-09,71473
2019-03-10,70782
2019-03-11,72228
2019-03-12,70479
2019-03-13,69672
2019-03-14,71730
2019-03-15,74310
2019-03-16,68398
2019-03-17,70885
2019-03-18,73300
2019-03-19,73014
2019-03-20,73246
2019-03-21,74158
2019-03-22,75261
2019-03-23,68787
2019-03-24,71419
2019-03-25,72236
2019-03-26,74545
2019-03-27,77107
2019-03-28,77660
2019-03-29,78726
2019-03-30,70468
2019-03-31,73483
2019-04-01,77673
2019-04-02,77922
2019-04-03,82511
2019-04-04,83475
2019-04-05,79209
2019-04-06,71440
2019-04-07,74668
2019-04-08,78185
2019-04-09,78277
2019-04-10,79421
2019-04-11,81288
2019-04-12,82071
2019-04-13,74837
2019-04-14,72895
2019-04-15,79176
2019-04-16,80744
2019-04-17,83193
2019-04-18,83811
2019-04-19,79850
2019-04-20,73894
2019-04-21,73125
2019-04-22,82054
2019-04-23,82992
2019-04-24,82522
2019-04-25,85687
2019-04-26,82566
2019-04-27,74750
2019-04-28,77076
2019-04-29,80242
2019-04-30,79549
2019-05-01,80717
2019-05-02,82168
2019-05-03,83574
2019-05-04,74930
2019-05-05,77875
2019-05-06,82701
2019-05-07,83173
2019-05-08,81975
2019-05-09,82064
2019-05-10,84716
2019-05-11,76526
2019-05-12,74464
2019-05-13,80888
2019-05-14,84047
2019-05-15,85541
2019-05-16,85172
2019-05-17,84794
2019-05-18,77227
2019-05-19,75847
2019-05-20,80890
