MOF,N,ADEP_NA,ADES_NA,TYPE_NA
2019-01-01,2145519,0,383,453308
2019-01-01,2145519,0,383,453308
2019-02-01,2006045,0,337,432650
2019-03-01,2283177,0,391,510827
2019-04-01,2375103,0,466,531813
2019-05-01,2539163,0,515,588628
2019-06-01,2660897,0,554,655109
2019-07-01,2898410,0,627,741083
2019-08-01,2990078,0,562,788560
2019-09-01,2721748,0,497,716761
2019-10-01,2946776,0,360,783174
2019-11-01,2721435,0,439,735601
2019-12-01,2701322,0,396,714329
2020-01-01,2734827,0,448,392164
2020-02-01,2648861,0,396,804862
2020-03-01,2152172,0,306,664082
2020-04-01,842906,0,77,347498
2020-05-01,1088268,0,92,505768
2020-06-01,1444225,0,159,656366
2020-07-01,1905533,0,271,518164
2020-08-01,2042058,0,277,518740
2020-09-01,1930869,0,119,485662
2020-10-01,1985141,0,70,821281
2020-11-01,1825013,0,75,750361
2020-12-01,1894752,0,64,737603
2021-01-01,1783377,0,32,716141
2021-02-01,1617850,0,42,671010
2021-03-01,2079447,0,75,882469
2021-04-01,2227374,0,86,944838
2021-05-01,2278300,0,123,969765
2021-06-01,2540484,0,135,1079331
