MOF,N,ADEP_NA,ADES_NA,TYPE_NA
2019-01-01,2145469,653663,550765,453296
2019-02-01,2005958,602553,493608,432636
2019-03-01,2283154,724037,587689,510828
2019-04-01,2375102,771473,597100,531812
2019-05-01,2539167,765982,597843,588629
2019-06-01,2660901,826036,638939,655111
2019-07-01,2898415,902088,713737,741084
2019-08-01,2990061,869691,685829,788555
2019-09-01,2721743,756197,592111,716762
2019-10-01,2946779,799763,620653,783173
2019-11-01,2721437,736726,578158,735602
2019-12-01,2701295,753490,557706,714329
2020-01-01,2734791,767536,550760,392165
2020-02-01,2648835,656027,481250,804861
2020-03-01,2152157,532885,392277,664080
2020-04-01,842905,192084,128031,347497
2020-05-01,1088267,243451,158317,505767
2020-06-01,1444224,339457,228803,656366
2020-07-01,1905528,460990,323410,518164
2020-08-01,2042040,494383,346040,518740
2020-09-01,1930868,459920,326127,485662
2020-10-01,1985145,476358,340720,821280
2020-11-01,1825015,457747,327613,750362
2020-12-01,1894751,491611,370281,737605
2021-01-01,1783384,454200,339943,716144
2021-02-01,1617845,395388,297176,671009
2021-03-01,2079436,498410,375334,882464
2021-04-01,2227362,533498,404396,944834
2021-05-01,2278298,516594,384342,969765
